"","pitcher","year","inning_role","length_role","matchup_role","leverage_role"
"385",663734,2021,"start",NA,NA,NA
"386",656288,2021,"start",NA,NA,NA
"387",593958,2021,"start",NA,NA,NA
"388",664714,2021,"middle","none","RHH","low"
"389",500610,2021,"none","short","none","low"
"390",663399,2021,"none","none","none","low"
"391",573204,2021,"none","short","none","none"
"392",643290,2021,"start",NA,NA,NA
"393",544931,2021,"start",NA,NA,NA
"394",656849,2021,"start",NA,NA,NA
"395",592791,2021,"start",NA,NA,NA
"396",607200,2021,"start",NA,NA,NA
"397",664192,2021,"start",NA,NA,NA
"398",663432,2021,"none","short","none","high"
"399",476454,2021,"middle","short","none","low"
"400",606930,2021,"none","short","none","low"
"401",641851,2021,"none","short","none","low"
"402",502202,2021,"none","short","none","high"
"403",592767,2021,"start",NA,NA,NA
"404",527048,2021,"start",NA,NA,NA
"405",453286,2021,"start",NA,NA,NA
"406",457918,2021,"start",NA,NA,NA
"407",573186,2021,"start",NA,NA,NA
"408",665152,2021,"start",NA,NA,NA
"409",663554,2021,"start",NA,NA,NA
"410",607231,2021,"none","none","none","none"
"411",596133,2021,"none","long","none","low"
"412",502624,2021,"start",NA,NA,NA
"413",489119,2021,"start",NA,NA,NA
"414",640470,2021,"none","short","none","none"
"415",592717,2021,"start",NA,NA,NA
"416",502239,2021,"start",NA,NA,NA
"417",641540,2021,"start",NA,NA,NA
"418",543699,2021,"none","long","LHH","low"
"419",592826,2021,"none","long","none","low"
"420",676840,2021,"none","none","none","low"
"421",572020,2021,"start",NA,NA,NA
"422",607179,2021,"middle","short","none","low"
"423",543339,2021,"late","short","none","high"
"424",595943,2021,"late","short","RHH","low"
"425",641743,2021,"none","none","RHH","low"
"426",641729,2021,"none","short","none","low"
"427",623470,2021,"middle","none","none","low"
"428",543272,2021,"none","short","RHH","high"
"429",657097,2021,"none","short","none","none"
"430",664042,2021,"none","short","none","none"
"431",676596,2021,"none","long","RHH","none"
"432",660825,2021,"none","short","none","low"
"433",571946,2021,"none","short","none","low"
"434",676604,2021,"none","short","none","low"
"435",613534,2021,"none","short","none","low"
"436",572955,2021,"none","short","none","none"
"437",657006,2021,"start",NA,NA,NA
"438",621593,2021,"none","short","none","none"
"439",668941,2021,"none","short","RHH","none"
"440",594985,2021,"none","short","none","low"
"441",656186,2021,"none","short","LHH","low"
"442",668678,2021,"start",NA,NA,NA
"443",543606,2021,"start",NA,NA,NA
"444",670950,2021,"none","short","none","none"
"445",670550,2021,"none","none","none","low"
"446",675921,2021,"start",NA,NA,NA
"447",656061,2021,"none","short","none","high"
"448",676831,2021,"none","short","none","low"
"449",467008,2021,"middle","short","RHH","low"
"450",657024,2021,"none","short","none","none"
"451",622780,2021,"none","short","none","low"
"452",541650,2021,"late","short","LHH","low"
"453",592662,2021,"start",NA,NA,NA
"454",623364,2021,"none","short","none","low"
"455",670912,2021,"start",NA,NA,NA
"456",592390,2021,"none","short","none","high"
"457",595345,2021,"none","short","none","none"
"458",641703,2021,"middle","none","none","none"
"459",608652,2021,"none","none","none","low"
"460",598286,2021,"none","none","none","low"
"461",429722,2021,"none","none","none","low"
"462",656529,2021,"none","short","RHH","low"
"463",665759,2021,"middle","short","none","low"
"464",626929,2021,"start",NA,NA,NA
"465",607229,2021,"none","none","none","low"
"466",656266,2021,"none","short","none","none"
"467",593643,2021,"late","short","none","low"
"468",641420,2021,"none","short","none","low"
"469",606213,2021,"middle","medium","none","low"
"470",607560,2021,"none","short","none","low"
"471",570257,2021,"none","short","none","high"
"472",664901,2021,"late","short","none","low"
"473",666808,2021,"late","short","none","high"
"474",502179,2021,"none","none","none","low"
"475",669060,2021,"none","none","none","low"
"476",622072,2021,"start",NA,NA,NA
"477",660813,2021,"none","short","none","none"
"478",656981,2021,"none","long","none","low"
"479",543243,2021,"start",NA,NA,NA
"480",547942,2021,"start",NA,NA,NA
"481",664092,2021,"none","short","none","low"
"482",592145,2021,"none","short","none","low"
"483",657610,2021,"middle","none","RHH","low"
"484",657140,2021,"start",NA,NA,NA
"485",641447,2021,"none","long","RHH","low"
"486",553902,2021,"late","short","none","low"
"487",630105,2021,"late","short","LHH","low"
"488",672715,2021,"none","long","none","low"
"489",663559,2021,"none","none","RHH","low"
"490",664076,2021,"none","short","none","none"
"491",675912,2021,"none","long","RHH","low"
"492",680692,2021,"middle","short","LHH","low"
"493",545343,2021,"none","short","none","low"
"494",592288,2021,"none","short","none","low"
"495",656970,2021,"none","long","RHH","low"
"496",573062,2021,"none","none","none","low"
